№,Head,Gen,HeadNorm,GenNorm,HeadForm,GenForm,Rel,HeadSem,GenSem,SetRel,HeadDer,GenDer
1,сын,партнера,сын,партнер,Ncmsny,Ncmsny,KIN-SOC,,,,N,N
2,вице-премьер,правительства,вице-премьер,правительство,Nsmsny,Ncnsgn,MB,,,,N,Vn
3,представитель,президента,представитель,президент,Ncmsny,Ncmsgy,KIN-SOC,,,,Vt,N
4,президента,рф,президент,рф,Ncmsgy,Ncfsgn,MB,,,,N,N
5,оргaнизации,форума,оргaнизация,форум,Ncfsdn,Ncmsgn,OB,,,,Vt,N
6,заместитель,главы,заместитель,глава,Ncmsny,Ncmsgy,KIN-SOC,,,,Vt,N
7,главы,администрации,глава,администрация,Ncmsgy,Ncfsgn,MB,,,,N,N
8,администрации,президента,администрация,президент,Ncfsgn,Ncmsgy,MB,,,,N,N
9,руководитель,отделения,руководитель,отделение,Ncmsny,Ncnsgn,MB,,,,Vt,Vt
10,профессор,биофизики,профессор,биофизик,Ncmsny,Ncfsgn,ATR,,,,N,N
11,отеделения,рентгенологии,отеделение,рентгенология,Ncnsgn,Ncfsgn,ATR,,,,Vt,N
12,отец,малыша,отец,малыш,Ncmsny,Ncmsgy,KIN-SOC,,,,N,N
13,адвокат,дьявола,адвокат,дьявол,Ncmsny,Ncmsgy,KIN-SOC,,,,N,N
14,директор,"""би-би-си""",директор,би-би-си,Ncmsny,Ncfsnn,MB,,,,N,N
15,похищении,экспедитора,похищение,экспедитор,Ncnsln,Ncmsay,OB,,,,Vt,N
16,экспедитора,компании,экспедитор,компания,Ncmsay,Ncfsgn,MB,,,,N,N
17,обязанности,тренера,обязанность,тренер,Ncfpan,Ncmsgy,ATR,,,,A,Vt
18,директор,клуба,директор,клуб,Ncmsny,Ncmsgn,MB,,,,N,N
19,вещи,отца,вещь,отец,Ncfpan,Ncmsgy,POS,,,,N,N
20,некорректность,высказываний,некорректность,высказывание,Ncfsnn,Ncpgn,PAR,,,,A,Vt
21,женой,офицера,жена,офицер,Ncfsiy,Ncmsgy,KIN-SOC,,,,N,N
22,подробности,задержания,подробность,задержание,Ncfpan,Ncnsgn,ATR,,,,A,Vt
23,обозреватель,"""кп""",обозреватель,кп,Ncmsny,Ncmsnn,MB,,,,Vt,N
24,друг,человека,друг,человек,Ncmsny,Ncmsgy,KIN-SOC,,,,N,N
25,поручению,губернатора,поручение,губернатор,Ncnsdn,Ncmsgy,SAG,,,,Vt,N
26,подбором,площадок,подбор,площадка,Ncnsin,Ncfpgn,OB,,,,Vt,N
27,зампред,правительства,зампред,правительство,Ncmsny,Ncmsgn,MB,,,,Vt,N
28,рекомендациям,комиссии,рекомендация,комиссия,Ncfpdn,Ncfsgn,SAG,,,,Vt,N
29,приходом,тренера,приход,тренер,Ncmsin,Ncmsgy,SAG,,,,Vn,N
30,советник,председателя,советник,председатель,Ncmsny,Ncmsgy,KIN-SOC,,,,N,N
31,председателя,комитета,председатель,комитет,Ncmsgy,Ncmsgn,MB,,,,Vt,N
32,друг,ребенка,друг,ребенок,Ncmsny,Ncmsgy,KIN-SOC,,,,N,N
33,добыча,омуля,добыча,омуль,Ncfsnn,Ncmsgy,OB,,,,Vt,N
34,помощник,руководителя,помощник,руководитель,Ncmsny,Ncmsgy,KIN-SOC,,,,Vt,N
35,жалобы,приморцев,жалоба,приморец,Ncfpan,Ncmpgy,SAG,,,,Vn,N
36,действия,команды,действие,команда,Ncfpan,Ncfsgy,SAG,,,,Vn,N
37,телефонов,граждан,телефон,гражданин,Ncmpgn,Ncmpgy,POS,,,,N,N
38,оценки,работы,оценка,работа,Ncfsgn,Ncfsgn,OB,,,,Vt,Vn
39,фамилии,присутствующих,фамилия,присутствующий,Ncfsgn,Afpmpgf,POS,,,,N,N
40,адвокат,сержанта,адвокат,сержант,Ncmsny,Ncmsgy,KIN-SOC,,,,N,N
41,власть,землевладельца,власть,землевладелец,Ncfsnn,Ncmsgy,SAG,,,,Vn,N
42,разрешения,хозяина,разрешение,хозяин,Ncnsgn,Ncmsgy,SAG,,,,Vt,N
43,содержание,архиерея,содержание,архиерей,Ncnsan,Ncmsgy,OB,,,,Vt,N
44,наша,ставка,наш,ставка,P-snfna,Ncfsnn,POS,,,,N,N
45,кресло,главы,кресло,глава,Ncnsan,Ncmsgy,POS,,,,N,N
46,главы,района,глава,район,Ncmsgy,Ncmsgn,MB,,,,N,N
47,проведения,агитации,проведение,агитация,Ncnsgn,Ncfsgn,OB,,,,Vt,Vt
48,журналист,телеканала,журналист,телеканал,Ncmsny,Ncmsgy,MB,,,,N,N
49,встречу,начальника,встреча,начальник,Ncfsan,Ncmsgy,SAG,,,,Vt,N
50,начальника,отдела,начальник,отдел,Ncmsgy,Ncmsgn,MB,,,,N,N
51,отдела,прокуратуры,отдел,прокуратура,Ncmsgn,Ncfsgn,WH,,,,Vt,N
52,съемках,программы,съемка,программа,Ncfpln,Ncfsgn,OB,,,,Vt,N
53,преследования,гражданина,преследование,гражданин,Ncnsgn,Ncmsgy,OB,,,,Vt,N
54,обнаружения,имущества,обнаружение,имущество,Ncnsgn,Ncnsgn,OB,,,,Vt,Vt
55,партнер,компании,партнер,компания,Ncmsny,Ncfsgn,KIN-SOC,,,,N,N
56,объяснения,редактора,объяснение,редактор,Ncnsgn,Ncmsgy,SAG,,,,Vn,Vt
57,промах,редакции,промах,редакция,Ncmsnn,Ncfsgn,SAG,,,,Vn,Vt
58,исполнителей,злодеяния,исполнитель,злодеяние,Ncmpgy,Ncfsgn,OB',,,,Vt,N
59,кара,аллаха,кара,аллах,Ncfsnn,Ncmsgy,SAG,,,,Vn,N
60,накопления,человека,накопление,человек,Ncnpnn,Ncmsgy,POS,,,,N,N
