Вершина,Зависимое,Лемма вершины,Лемма зависимого,Форма вершины,Форма зависимого,Отношение,Гиперонимы вершины,Гиперонимы зависимого,HSWV,GSWV,Ярлык
1,сын,партнера,сын,партнер,Ncmsny,,KIN-SOC,,,родственник_S,агент_S,
2,вице-премьер,правительства,вице-премьер,правительство,Nsmsny,Ncnsgn,MB,,,агент_S,организация_S,
3,представитель,президента,представитель,президент,Ncmsny,Ncmsgy,KIN-SOC,,,деятель_S,деятель_S,
4,президента,рф,президент,рф,Ncmsgy,Ncfsgn,MB,,,деятель_S,агент_S,
5,оргaнизации,форума,оргaнизация,форум,Ncfsdn,Ncmsgn,OB,,,родственник_S,организация_S,
6,заместитель,главы,заместитель,глава,Ncmsny,Ncmsgy,KIN-SOC,,,агент_S,агент_S,
7,главы,администрации,глава,администрация,Ncmsgy,Ncfsgn,MB,,,агент_S,учреждение_S,
8,администрации,президента,администрация,президент,Ncfsgn,Ncmsgy,MB,,,учреждение_S,деятель_S,
9,руководитель,отделения,руководитель,отделение,Ncmsny,Ncnsgn,MB,,,организация_S,учреждение_S,
10,профессор,биофизики,профессор,биофизик,Ncmsny,Ncfsgn,ATR,,,деятель_S,деятель_S,
11,отеделения,рентгенологии,отеделение,рентгенология,Ncnsgn,Ncfsgn,ATR,,,родственник_S,организация_S,
12,отец,малыша,отец,малыш,Ncmsny,Ncmsgy,KIN-SOC,,,родственник_S,человек_S,
13,адвокат,дьявола,адвокат,дьявол,Ncmsny,Ncmsgy,KIN-SOC,,,агент_S,агент_S,
14,директор,"""би-би-си""",директор,би-би-си,Ncmsny,Ncfsnn,MB,,,учреждение_S,агент_S,
15,похищении,экспедитора,похищение,экспедитор,Ncnsln,Ncmsay,OB,,,агент_S,агент_S,
16,экспедитора,компании,экспедитор,компания,Ncmsay,Ncfsgn,MB,,,агент_S,группа_S,
17,обязанности,тренера,обязанность,тренер,Ncfpan,Ncmsgy,ATR,,,учреждение_S,деятель_S,
18,директор,клуба,директор,клуб,Ncmsny,Ncmsgn,MB,,,учреждение_S,организация_S,
19,вещи,отца,вещь,отец,Ncfpan,Ncmsgy,POS,,,предмет_S,родственник_S,
20,некорректность,высказываний,некорректность,высказывание,Ncfsnn,Ncpgn,PAR,,,предмет_S,действие_S,
21,женой,офицера,жена,офицер,Ncfsiy,Ncmsgy,KIN-SOC,,,родственник_S,агент_S,
22,подробности,задержания,подробность,задержание,Ncfpan,Ncnsgn,ATR,,,предмет_S,агент_S,
23,обозреватель,"""кп""",обозреватель,кп,Ncmsny,Ncmsnn,MB,,,деятель_S,группа_S,
24,друг,человека,друг,человек,Ncmsny,Ncmsgy,KIN-SOC,,,родственник_S,человек_S,
25,поручению,губернатора,поручение,губернатор,Ncnsdn,Ncmsgy,SAG,,,агент_S,родственник_S,
26,подбором,площадок,подбор,площадка,Ncnsin,Ncfpgn,OB,,,группа_S,группа_S,
27,зампред,правительства,зампред,правительство,Ncmsny,Ncmsgn,MB,,,организация_S,организация_S,
28,рекомендациям,комиссии,рекомендация,комиссия,Ncfpdn,Ncfsgn,SAG,,,организация_S,учреждение_S,
29,приходом,тренера,приход,тренер,Ncmsin,Ncmsgn,SAG,,,действие_S,деятель_S,
30,советник,председателя,советник,председатель,Ncmsny,Ncmsgy,KIN-SOC,,,агент_S,учреждение_S,
31,председателя,комитета,председатель,комитет,Ncmsgy,Ncmsgn,MB,,,учреждение_S,организация_S,
32,друг,ребенка,друг,ребенок,Ncmsny,Ncmsgy,KIN-SOC,,,родственник_S,родственник_S,
33,добыча,омуля,добыча,омуль,Ncfsnn,Ncmsgy,OB,,,агент_S,учреждение_S,
34,помощник,руководителя,помощник,руководитель,Ncmsny,Ncmsgy,KIN-SOC,,,агент_S,организация_S,
35,жалобы,приморцев,жалоба,приморец,Ncfpan,Ncmpgy,SAG,,,родственник_S,человек_S,
36,действия,команды,действие,команда,Ncfpan,Ncfsgy,SAG,,,действие_S,группа_S,
37,его,популярности,он,популярность,P-----a,Ncfsgn,PAR,,,родственник_S,деятель_S,
38,владельца,стадиона,владелец,стадион,Ncmsgy,Ncmsgn,POS,,,родственник_S,организация_S,
39,моей,деятельности,мой,деятельность,P-----a,Ncfsgn,SAG,,,родственник_S,действие_S,
40,телефонов,граждан,телефон,гражданин,Ncmpgn,Ncmpgy,POS,,,родственник_S,человек_S,
41,моей,работе,мой,работа,P-----a,Ncfsln,SAG,,,родственник_S,организация_S,
42,оценки,работы,оценка,работа,Ncfsgn,Ncfsgn,OB,,,организация_S,организация_S,
43,фамилии,присутствующих,фамилия,присутствующий,Ncfsgn,Afpmpgf,POS,,,родственник_S,предмет_S,
44,адвокат,сержанта,адвокат,сержант,Ncmsny,Ncmsgy,KIN-SOC,,,агент_S,агент_S,
45,власть,землевладельца,власть,землевладелец,Ncfsnn,Ncmsgy,SAG,,,учреждение_S,родственник_S,
46,разрешения,хозяина,разрешение,хозяин,Ncnsgn,Ncmsgy,SAG,,,учреждение_S,человек_S,
