27-05-2019 15:28
==========================================================================
Column   RuTez   - classification based on linguistic ontology 'RuTez'
Column   W2V     - classification based on model 'RusVectores'
Column   Initial - semantic relation from Data-set
Column   Head    - Head Noun
Column   Gen     - Genitive
==========================================================================
RuTez      W2V     Initial     Head        Gen
--------------------------------------------------------------------------
KIN-SOC   KIN-SOC   KIN-SOC   сын   партнера
KIN-SOC   MB   MB   вице-премьер   правительства
KIN-SOC   ATR   KIN-SOC   представитель   президента
MB   ATR   MB   президента   рф
ATR   KIN-SOC   OB   оргaнизации   форума
KIN-SOC   ATR   KIN-SOC   заместитель   главы
MB   ATR   MB   главы   администрации
ATR   ATR   MB   администрации   президента
MB   MB   MB   руководитель   отделения
MB   ATR   ATR   профессор   биофизики
ATR   KIN-SOC   ATR   отеделения   рентгенологии
KIN-SOC   KIN-SOC   KIN-SOC   отец   малыша
ATR   ATR   KIN-SOC   адвокат   дьявола
MB   ATR   MB   директор   "би-би-си"
OB   ATR   OB   похищении   экспедитора
MB   ATR   MB   экспедитора   компании
ATR   ATR   ATR   обязанности   тренера
MB   MB   MB   директор   клуба
POS   POS   POS   вещи   отца
ATR   ATR   PAR   некорректность   высказываний
KIN-SOC   KIN-SOC   KIN-SOC   женой   офицера
ATR   ATR   ATR   подробности   задержания
MB   SAG   MB   обозреватель   "кп"
KIN-SOC   KIN-SOC   KIN-SOC   друг   человека
ATR   ATR   SAG   поручению   губернатора
ATR   ATR   OB   подбором   площадок
KIN-SOC   MB   MB   зампред   правительства
ATR   ATR   SAG   рекомендациям   комиссии
ATR   ATR   SAG   приходом   тренера
ATR   ATR   KIN-SOC   советник   председателя
MB   MB   MB   председателя   комитета
KIN-SOC   KIN-SOC   KIN-SOC   друг   ребенка
OB   ATR   OB   добыча   омуля
ATR   ATR   KIN-SOC   помощник   руководителя
ATR   ATR   SAG   жалобы   приморцев
ATR   OB   SAG   действия   команды
ATR   ATR   POS   телефонов   граждан
OB   ATR   OB   оценки   работы
POS   ATR   POS   фамилии   присутствующих
ATR   ATR   KIN-SOC   адвокат   сержанта
ATR   ATR   SAG   власть   землевладельца
ATR   ATR   SAG   разрешения   хозяина
ATR   ATR   OB   содержание   архиерея
PAR   KIN-SOC   POS   наша   ставка
POS   ATR   POS   кресло   главы
MB   MB   MB   главы   района
ATR   ATR   OB   проведения   агитации
OB   SAG   MB   журналист   телеканала
OB   ATR   SAG   встречу   начальника
MB   MB   MB   начальника   отдела
ATR   ATR   WH   отдела   прокуратуры
ATR   OB   OB   съемках   программы
ATR   OB   OB   преследования   гражданина
ATR   ATR   OB   обнаружения   имущества
MB   ATR   KIN-SOC   партнер   компании
ATR   ATR   SAG   объяснения   редактора
ATR   ATR   SAG   промах   редакции
ATR   OB   OB'   исполнителей   злодеяния
ATR   OB   SAG   кара   аллаха
ATR   ATR   POS   накопления   человека
ATR   MB   SAG   заседании   комиссии
ATR   ATR   ATR   комиссии   области
KIN-SOC   ATR   KIN-SOC   заместитель   комиссара
MB   MB   MB   комиссара   области
MB   MB   MB   начальник   отдела
ATR   ATR   WH   отдела   призыва
ATR   ATR   SAG   утверждение   президента
ATR   ATR   PAR   состав   правительства
POS   ATR   POS   листы   директора
POS   ATR   POS   место   афганистана
KIN-SOC   KIN-SOC   KIN-SOC   родственник   вице-премьера
OB   ATR   OB   экранизацией   произведений
KIN-SOC   KIN-SOC   KIN-SOC   племянник   чародея
ATR   ATR   SAG   платежи   покупателя
KIN-SOC   MB   MB   представителя   племени
ATR   PAR   PAR   особенности   охоты
ATR   ATR   OB   поиск   донора
OB   ATR   SAG   опеку   парня
KIN-SOC   KIN-SOC   KIN-SOC   отец   живописца
ATR   ATR   OB   консолидация   усилий
ATR   ATR   SAG   работа   групп
ATR   ATR   OB   строительство   домов
KIN-SOC   ATR   KIN-SOC   заместитель   председателя
MB   MB   MB   председателя   правительства
MB   MB   MB   директором   департамента
ATR   ATR   WH   департамента   мчс
OB   ATR   OB   управления   защиты
OB   ATR   OB   защиты   информации
ATR   ATR   OB   обеспечения   безопасности
ATR   ATR   PAR   безопасности   работ
ATR   ATR   SAG   работ   ведомства
ATR   ATR   OB   подписание   соглашения
MB   ATR   MB   глава   мид
MB   ATR   MB   президенте   рф
ATR   KIN-SOC   KIN-SOC   вдова   артиста
ATR   PAR   PAR   состояние   его
ATR   PAR   PAR   тяжесть   течения
ATR   ATR   PAR   течения   заболевания
KIN-SOC   KIN-SOC   KIN-SOC   мужем   людмилы
ATR   ATR   OB   отбор   автомобилей
ATR   ATR   POS   имени   производителей
KIN-SOC   KIN-SOC   KIN-SOC   папа   первоклассника
POS   ATR   POS   ворот   соперника
MB   MB   MB   лидер   боевиков
ATR   ATR   SPA   гибели   садиста
ATR   ATR   PAR   здоровье   человека
KIN-SOC   KIN-SOC   KIN-SOC   мама   чемпиона
MB   ATR   MB   учеником   города
KIN-SOC   KIN-SOC   KIN-SOC   приятель   героя
ATR   OB   OB   возбуждение   дела
KIN-SOC   ATR   SAG   соучастник   побега
PAR   ATR   ATR   норме   площади
ATR   KIN-SOC   KIN-SOC   родители   собственника
ATR   ATR   OB   неисполнение   требований
ATR   ATR   PAR   благосклонностью   вора
ATR   ATR   POS   офис   агенства
ATR   ATR   OB   заключение   договора
ATR   KIN-SOC   ATR   город   проживания
POS   MB   ATR   место   работы
POS   ATR   ATR   знак   одобрения
ATR   ATR   OB   одобрения   слов
KIN-SOC   ATR   KIN-SOC   пресс-секретарь   главы
MB   MB   MB   главы   правительства
ATR   ATR   ATR   время   программы
KIN-SOC   KIN-SOC   KIN-SOC   сын   наследника
KIN-SOC   KIN-SOC   ATR   наследника   престола
ATR   ATR   OB   строительства   дворца
OB   ATR   OB   установлении   навязывания
ATR   ATR   PAR   невыгодность   условия
ATR   ATR   PAR   вице-президент   центра
PAR   ATR   MB   центра   технологий
ATR   ATR   ATR   помиловании   михаила
ATR   ATR   OB   правления   медведева
ATR   MB   SAG   срока   правления
ATR   OB   ATR   пагубности   застоя
ATR   ATR   PAR   пользе   образования
ATR   OB   PAR   наступления   кризиса
ATR   ATR   OB   проведении   политики
PAR   POS   PAR   благах   роста
KIN-SOC   ATR   KIN-SOC   полпред   президента
MB   ATR   MB   президента   рф
ATR   ATR   PAR   характеристику   развития
ATR   ATR   SPA   развития   комплекса
ATR   ATR   ATR   церемонии   вручения
ATR   ATR   OB   вручения   премий
KIN-SOC   ATR   KIN-SOC   заместитель   председателя
MB   MB   MB   председателя   правительства
MB   ATR   ATR   министр   экономики
MB   ATR   ATR   министр   образования
MB   ATR   MB   ректор   университета
ATR   KIN-SOC   KIN-SOC   поклонники   булкагова
OB   OB   OB   убийство   журавля
ATR   OB   SAG   действия   водителя
ATR   PAR   PAR   особенностей   подростка
POS   ATR   ATR   машине   помощи
ATR   KIN-SOC   KIN-SOC   враг   врага
MB   ATR   MB   премьер   рф
OB   ATR   OB   увольнения   чиновников
KIN-SOC   KIN-SOC   KIN-SOC   брат   форварда
ATR   KIN-SOC   KIN-SOC   покровитель   ваенги
ATR   PAR   PAR   состояние   мэра
ATR   OB   OB   задержании   его
ATR   ATR   POS   материалам   комиссии
ATR   OB   SAG   реакцию   пассажира
ATR   ATR   WH   дверь   кабинета
ATR   ATR   POS   кабинета   начальника
ATR   PAR   PAR   образа   полковника
ATR   POS   ATR   вопросы   неравенста
ATR   ATR   ATR   пример   человека
ATR   ATR   OB   возведением   недвижимости
ATR   ATR   OB   восстановление   сектора
ATR   KIN-SOC   ATR   доме   ребенка
ATR   ATR   SAG   труд   врача
KIN-SOC   KIN-SOC   KIN-SOC   супруга   чемпиона
MB   MB   MB   член   комитета
ATR   ATR   PAR   здоровья   человека
OB   ATR   OB   распространении   клеветы
ATR   KIN-SOC   KIN-SOC   шафером   принца
MB   SAG   MB   юрист   партии
PAR   ATR   OB   реализации   проекта
ATR   ATR   ATR   проекта   национализации
ATR   POS   ATR   вопрос   увеличения
PAR   ATR   OB   увеличения   размера
ATR   ATR   PAR   размера   выплаты
KIN-SOC   ATR   KIN-SOC   заместитель   министра
ATR   ATR   OB   переселение   объектов
POS   POS   PAR   объектов   назначения
OB   ATR   OB   решение   задач
ATR   ATR   SPA   развитие   туризма
MB   ATR   ATR   министра   развития
ATR   ATR   PAR   качествами   руководителя
MB   MB   MB   глава   государства
ATR   ATR   ATR   идею   неравенста
ATR   ATR   OB'   портрету   мздоимца
