from	to	relation
АМПЛИТУДА	ПАРАМЕТР	ВЫШЕ
АТМОСФЕРНОЕ ДАВЛЕНИЕ	ПАРАМЕТР	ВЫШЕ
ВЛАЖНОСТЬ (НАЛИЧИЕ ВЛАГИ)	ПАРАМЕТР	ВЫШЕ
ВМЕСТИМОСТЬ (ПАРАМЕТР)	ПАРАМЕТР	ВЫШЕ
ВОДНОСТЬ ВОДОЕМА	ПАРАМЕТР	ВЫШЕ
КИСЛОТНОСТЬ (ПОКАЗАТЕЛЬ)	ПАРАМЕТР	ВЫШЕ
КОНЦЕНТРАЦИЯ ВЕЩЕСТВА	ПАРАМЕТР	ВЫШЕ
МАССА (ФИЗИЧЕСКАЯ ВЕЛИЧИНА)	ПАРАМЕТР	ВЫШЕ
ОБЪЕМ (ВЕЛИЧИНА В ДЛИНУ, ШИРИНУ И ВЫСОТУ)	ПАРАМЕТР	ВЫШЕ
ОКТАНОВОЕ ЧИСЛО	ПАРАМЕТР	ВЫШЕ
ОСВЕЩЕННОСТЬ (СТЕПЕНЬ ОСВЕЩЕНИЯ)	ПАРАМЕТР	ВЫШЕ
ПАРАМЕТР	ПАРАМЕТР	ВЫШЕ
ПЛОЩАДЬ (ПАРАМЕТР)	ПАРАМЕТР	ВЫШЕ
ПОСЕЩАЕМОСТЬ	ПАРАМЕТР	ВЫШЕ
ПРОТЯЖЕННОСТЬ	ПАРАМЕТР	ВЫШЕ
РАЗМЕРНОСТЬ, ЧИСЛО ИЗМЕРЕНИЙ	ПАРАМЕТР	ВЫШЕ
СЕЙСМИЧНОСТЬ	ПАРАМЕТР	ВЫШЕ
СКОРОСТЬ ДВИЖЕНИЯ	ПАРАМЕТР	ВЫШЕ
ТАКТОВАЯ ЧАСТОТА	ПАРАМЕТР	ВЫШЕ
ТЕМПЕРАТУРА	ПАРАМЕТР	ВЫШЕ
ТЕХНИЧЕСКИЙ ПОКАЗАТЕЛЬ	ПАРАМЕТР	ВЫШЕ
ТРАФИК СЕТИ	ПАРАМЕТР	ВЫШЕ
УДЕЛЬНЫЙ ПАРАМЕТР	ПАРАМЕТР	ВЫШЕ
ФИЗИЧЕСКАЯ ВЕЛИЧИНА	ПАРАМЕТР	ВЫШЕ
ЦЕНА ТОВАРА, УСЛУГИ	ПАРАМЕТР	ВЫШЕ
АБСТРАКТНЫЙ	СВОЙСТВО, ХАРАКТЕРИСТИКА	ВЫШЕ
АНТИДЕМОКРАТИЧНОСТЬ	СВОЙСТВО, ХАРАКТЕРИСТИКА	ВЫШЕ
БЕЗВКУСНЫЙ, ПРЕСНЫЙ	СВОЙСТВО, ХАРАКТЕРИСТИКА	ВЫШЕ
БЕЗВОДНЫЙ	СВОЙСТВО, ХАРАКТЕРИСТИКА	ВЫШЕ
БЕЗУСЛОВНЫЙ, НЕ ОГРАНИЧЕННЫЙ УСЛОВИЯМИ	СВОЙСТВО, ХАРАКТЕРИСТИКА	ВЫШЕ
БЛИЗОСТЬ В ОТНОШЕНИЯХ	СВОЙСТВО, ХАРАКТЕРИСТИКА	ВЫШЕ
ВАЛЕНТНОСТЬ ХИМИЧЕСКОГО ЭЛЕМЕНТА	СВОЙСТВО, ХАРАКТЕРИСТИКА	ВЫШЕ
ВНЕШНИЙ ОБЛИК	СВОЙСТВО, ХАРАКТЕРИСТИКА	ВЫШЕ
ВНЕШНЯЯ ЧЕРТА	СВОЙСТВО, ХАРАКТЕРИСТИКА	ВЫШЕ
ВОЗРАСТ	СВОЙСТВО, ХАРАКТЕРИСТИКА	ВЫШЕ
ВРЕМЯ, МОМЕНТ ВРЕМЕНИ	СВОЙСТВО, ХАРАКТЕРИСТИКА	ВЫШЕ
ВРЕМЯ, ПРОДОЛЖИТЕЛЬНОСТЬ	СВОЙСТВО, ХАРАКТЕРИСТИКА	ВЫШЕ
ДЕМОКРАТИЧЕСКАЯ ГЛАСНОСТЬ	СВОЙСТВО, ХАРАКТЕРИСТИКА	ВЫШЕ
ДИКИЙ (НЕКУЛЬТИВИРУЕМЫЙ, НЕПРИРУЧЕННЫЙ)	СВОЙСТВО, ХАРАКТЕРИСТИКА	ВЫШЕ
ДРАМАТИЗМ ПРОИЗВЕДЕНИЯ	СВОЙСТВО, ХАРАКТЕРИСТИКА	ВЫШЕ
ЗАПАХ	СВОЙСТВО, ХАРАКТЕРИСТИКА	ВЫШЕ
ИЗБИРАТЕЛЬНОЕ ДЕЙСТВИЕ	СВОЙСТВО, ХАРАКТЕРИСТИКА	ВЫШЕ
ИНДИВИДУАЛЬНЫЙ (ОТНОСЯЩИЙСЯ В ОТДЕЛ-ТИ, К КАЖД.)	СВОЙСТВО, ХАРАКТЕРИСТИКА	ВЫШЕ
ИСХОДНЫЙ	СВОЙСТВО, ХАРАКТЕРИСТИКА	ВЫШЕ
КАЧЕСТВО (СТЕПЕНЬ ЦЕННОСТИ, ПРИГОДНОСТИ)	СВОЙСТВО, ХАРАКТЕРИСТИКА	ВЫШЕ
КОЛИЧЕСТВО, ВЕЛИЧИНА, ЧИСЛО	СВОЙСТВО, ХАРАКТЕРИСТИКА	ВЫШЕ
КОНВЕРТИРУЕМОСТЬ ВАЛЮТЫ	СВОЙСТВО, ХАРАКТЕРИСТИКА	ВЫШЕ
КРЫТЫЙ	СВОЙСТВО, ХАРАКТЕРИСТИКА	ВЫШЕ
КУЛЬТУРНЫЙ (НЕ ДИКИЙ)	СВОЙСТВО, ХАРАКТЕРИСТИКА	ВЫШЕ
МЕДИЦИНСКОЕ ПОКАЗАНИЕ	СВОЙСТВО, ХАРАКТЕРИСТИКА	ВЫШЕ
МЕДИЦИНСКОЕ ПРОТИВОПОКАЗАНИЕ	СВОЙСТВО, ХАРАКТЕРИСТИКА	ВЫШЕ
МЕСТНЫЙ, ЛОКАЛЬНЫЙ	СВОЙСТВО, ХАРАКТЕРИСТИКА	ВЫШЕ
НАДЕЖНОСТЬ ФУНКЦИОНИРОВАНИЯ	СВОЙСТВО, ХАРАКТЕРИСТИКА	ВЫШЕ
НАЛЕТ, ОТТЕНОК	СВОЙСТВО, ХАРАКТЕРИСТИКА	ВЫШЕ
НАМЕК, СЛАБЫЙ ПРИЗНАК	СВОЙСТВО, ХАРАКТЕРИСТИКА	ВЫШЕ
НАПРАВЛЕНИЕ ДЕЯТЕЛЬНОСТИ	СВОЙСТВО, ХАРАКТЕРИСТИКА	ВЫШЕ
НАСЛЕДСТВЕННОСТЬ	СВОЙСТВО, ХАРАКТЕРИСТИКА	ВЫШЕ
НЕВЫРАЗИТЕЛЬНЫЙ	СВОЙСТВО, ХАРАКТЕРИСТИКА	ВЫШЕ
НЕОДУШЕВЛЕННЫЙ	СВОЙСТВО, ХАРАКТЕРИСТИКА	ВЫШЕ
НЕПОСРЕДСТВЕННЫЙ, НЕПОСРЕДСТВЕННО СЛЕДУЮЩИЙ	СВОЙСТВО, ХАРАКТЕРИСТИКА	ВЫШЕ
НЕПРОЧНЫЙ (НЕДОЛГОВЕЧНЫЙ)	СВОЙСТВО, ХАРАКТЕРИСТИКА	ВЫШЕ
НЕСПОСОБНОСТЬ, НЕУМЕНИЕ	СВОЙСТВО, ХАРАКТЕРИСТИКА	ВЫШЕ
НЕУДАЧЛИВЫЙ	СВОЙСТВО, ХАРАКТЕРИСТИКА	ВЫШЕ
ОБЩИЙ, ЕДИНЫЙ ДЛЯ ВСЕХ	СВОЙСТВО, ХАРАКТЕРИСТИКА	ВЫШЕ
ОСТРОСЮЖЕТНЫЙ	СВОЙСТВО, ХАРАКТЕРИСТИКА	ВЫШЕ
ОТДЕЛЬНЫЙ, ОБОСОБЛЕННЫЙ	СВОЙСТВО, ХАРАКТЕРИСТИКА	ВЫШЕ
ОТЛИЧИТЕЛЬНОЕ СВОЙСТВО	СВОЙСТВО, ХАРАКТЕРИСТИКА	ВЫШЕ
ОТПЕЧАТОК, СЛЕД (РЕЗУЛЬТИРУЮЩИЙ ПРИЗНАК)	СВОЙСТВО, ХАРАКТЕРИСТИКА	ВЫШЕ
ОЦЕНКА (МНЕНИЕ)	СВОЙСТВО, ХАРАКТЕРИСТИКА	ВЫШЕ
ПАХУЧИЙ	СВОЙСТВО, ХАРАКТЕРИСТИКА	ВЫШЕ
ПОРЯДОК СЛЕДОВАНИЯ	СВОЙСТВО, ХАРАКТЕРИСТИКА	ВЫШЕ
ПРЕИМУЩЕСТВО, ПРЕВОСХОДСТВО	СВОЙСТВО, ХАРАКТЕРИСТИКА	ВЫШЕ
ПРОСТОЙ, НЕСЛОЖНЫЙ	СВОЙСТВО, ХАРАКТЕРИСТИКА	ВЫШЕ
СВОЙСТВО ЧИСЛА	СВОЙСТВО, ХАРАКТЕРИСТИКА	ВЫШЕ
СВОЙСТВО, ХАРАКТЕРИСТИКА	СВОЙСТВО, ХАРАКТЕРИСТИКА	ВЫШЕ
СИМПТОМ (ВНЕШНИЙ ПРИЗНАК)	СВОЙСТВО, ХАРАКТЕРИСТИКА	ВЫШЕ
СМЕРТНЫЙ, НЕВЕЧНЫЙ	СВОЙСТВО, ХАРАКТЕРИСТИКА	ВЫШЕ
СОВРЕМЕННЫЙ, ТЕПЕРЕШНИЙ	СВОЙСТВО, ХАРАКТЕРИСТИКА	ВЫШЕ
СООТВЕТСТВУЮЩИЙ	СВОЙСТВО, ХАРАКТЕРИСТИКА	ВЫШЕ
СПОСОБНОСТЬ	СВОЙСТВО, ХАРАКТЕРИСТИКА	ВЫШЕ
СПОСОБНОСТЬ, УМЕНИЕ	СВОЙСТВО, ХАРАКТЕРИСТИКА	ВЫШЕ
СПОСОБНЫЙ (ОБЛАДАЮЩИЙ СПОСОБНОСТЯМИ)	СВОЙСТВО, ХАРАКТЕРИСТИКА	ВЫШЕ
СТЕПЕНЬ (СРАВНИТЕЛЬНАЯ ВЕЛИЧИНА)	СВОЙСТВО, ХАРАКТЕРИСТИКА	ВЫШЕ
